Hands_Relative_Loc_X,Hands_Relative_Loc_Y,Hands_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
-6.966365,14.461922,2.310621,47.863931,-83.793491,54.779334,11.982902,-3.158013,36.727442,-53.270373,49.838525,38.269122,75.523485,-178.271522,-76.300005,-38.247868,-30.144976,62.735803,-37.433097,-30.607143,63.017741,8.646772,-10.158479,32.719654,13.885764,-6.663307,33.19872,3.406699,-26.494794,-10.417955,4.631583,-19.822245,-10.412722,-2.602795,-25.950725,9.446628,-1.368238,-33.519131,9.066467,7.027116,-8.361644,2.963884,9.049249,-55.307054,-3.74223,-0.867568,-32.30329,-2.881718,-2.914525,-97.86298,-0.297725,2.513215,-13.051424,-2.237376,0.40541,-61.378847,-2.459271,4.800713,-60.060305,-8.863319,2.375983,-77.85032,-11.714424,-1.377661,-87.362693,-0.677083,-1.413419,-90.556738,-0.605926,-7.362329,-61.891201,-7.353299,-7.486013,-62.859722,-7.322499,-0.742165,-72.822335,-14.539096,-3.890364,-84.241372,-12.442829,-4.988041,-85.815236,-1.894149,-4.887626,-82.910603,-2.07966,-4.3684,-62.23372,-1.142199,-4.470697,-67.387444,-1.137372,15.315445,-5.567038,-24.893164,15.315446,-5.567044,-24.89316,7.797291,-73.089664,1.698679,7.089016,-82.68645,5.728321,-5.957101,-81.76093,-8.011921,-5.254172,-76.826835,-8.270356,-4.00825,-61.114858,2.683478,-3.286787,-75.737735,2.946456,1
-6.381323,13.707159,2.611315,112.645577,-121.80132,94.15599,17.535951,0.899683,45.272456,-52.739317,49.640424,37.856395,75.347882,-177.584642,-75.778318,-38.307563,-30.110197,62.714353,-37.409616,-30.620081,63.025545,8.757284,-10.087743,32.69435,13.922987,-6.636265,33.210757,3.414546,-26.452103,-10.418371,4.643328,-19.758112,-10.41199,-2.656871,-25.625575,9.459292,-1.368253,-33.519035,9.066464,7.054668,-8.754846,2.927151,9.05646,-55.263052,-3.742252,-0.836411,-31.685545,-2.892153,-2.914575,-97.87545,-0.297073,2.514325,-13.023064,-2.236735,0.406962,-61.342945,-2.459771,4.719314,-60.529586,-8.886793,2.37387,-77.856331,-11.711437,-1.378077,-87.397815,-0.676312,-1.413437,-90.557989,-0.60589,-7.403232,-62.211079,-7.343359,-7.479549,-62.809023,-7.324171,-0.927559,-73.516653,-14.507911,-3.888443,-84.23574,-12.447769,-4.989261,-85.852093,-1.891765,-4.888054,-82.92264,-2.078903,-4.369322,-62.280829,-1.142193,-4.469628,-67.33313,-1.137473,15.315446,-5.567044,-24.893157,15.315441,-5.567051,-24.893163,7.80861,-73.774119,1.599596,7.089682,-82.683184,5.722235,-5.963609,-81.80745,-8.0092,-5.257136,-76.847258,-8.2694,-4.008372,-61.111957,2.683411,-3.288918,-75.696415,2.945974,1
-5.941773,13.073173,2.856764,75.404282,-87.080625,71.340562,14.30676,1.043415,37.223187,-52.103185,49.412958,37.259469,75.178959,-176.556783,-74.923437,-38.435692,-30.035876,62.668446,-37.384034,-30.634409,63.034192,9.026107,-9.915524,32.640184,13.961554,-6.608717,33.223945,3.422728,-26.40755,-10.418807,4.655329,-19.692566,-10.41122,-2.691575,-25.417213,9.46724,-1.36873,-33.515916,9.066661,7.086724,-9.242351,2.88148,9.064081,-55.217028,-3.742363,-0.80156,-30.996783,-2.903388,-2.914633,-97.886733,-0.296483,2.515402,-12.995424,-2.236114,0.408672,-61.303212,-2.460327,4.632705,-61.027138,-8.910558,2.371866,-77.861229,-11.708019,-1.378472,-87.432713,-0.675553,-1.413454,-90.560361,-0.60584,-7.431149,-62.429709,-7.336429,-7.472695,-62.75525,-7.32592,-1.077547,-74.073114,-14.476014,-3.886131,-84.228436,-12.452902,-4.990478,-85.889255,-1.889349,-4.888551,-82.936333,-2.078039,-4.370324,-62.331206,-1.142195,-4.468472,-67.27496,-1.137571,15.31544,-5.567048,-24.893161,15.31545,-5.567042,-24.893153,7.81586,-74.36954,1.519873,7.090264,-82.679222,5.716322,-5.970191,-81.854534,-8.006428,-5.260379,-76.869761,-8.268366,-4.008403,-61.111656,2.683401,-3.291162,-75.652576,2.945465,1
-5.582241,12.513698,3.086028,61.413812,-75.802675,63.463836,13.189462,-0.759707,32.712407,-51.340874,49.116675,36.612499,74.937536,-175.021033,-73.502303,-38.820861,-29.808702,62.527231,-37.355433,-30.650009,63.043587,9.349294,-9.714346,32.479261,14.000986,-6.579822,33.238376,3.43125,-26.361092,-10.419234,4.667585,-19.625609,-10.410396,-2.731343,-25.178511,9.476182,-1.369723,-33.509809,9.067033,7.115251,-9.666231,2.841379,9.072107,-55.168957,-3.742538,-0.775633,-30.486432,-2.911447,-2.914689,-97.896907,-0.295933,2.516461,-12.968453,-2.235494,0.410529,-61.259667,-2.460946,4.54853,-61.504292,-8.93088,2.369965,-77.86509,-11.704166,-1.378884,-87.467394,-0.674792,-1.413476,-90.563878,-0.605774,-7.452915,-62.600156,-7.330953,-7.465447,-62.698395,-7.327771,-1.191801,-74.489819,-14.444541,-3.883466,-84.21948,-12.458242,-4.991708,-85.926752,-1.886919,-4.889106,-82.951598,-2.077078,-4.371394,-62.384806,-1.142178,-4.467247,-67.213052,-1.137694,15.315435,-5.567049,-24.893163,15.315446,-5.567043,-24.893153,7.818241,-74.826046,1.468691,7.090774,-82.674569,5.710595,-5.976844,-81.902184,-8.00364,-5.263925,-76.894235,-8.267219,-4.008287,-61.113945,2.683473,-3.293551,-75.606233,2.94492,1
-3.513939,12.09001,3.281306,304.801341,-52.290319,43.976474,12.426199,7.602221,16.37196,-44.749319,57.15561,28.711244,74.806797,-174.038887,-72.454398,-39.462545,-29.420258,62.282869,-37.327949,-30.665212,63.052746,10.158603,-9.211554,32.214958,14.041948,-6.550211,33.252505,3.442822,-26.298037,-10.419833,4.678604,-19.565538,-10.409658,-2.955875,-23.835216,9.523457,-1.373556,-33.485709,9.068503,7.176961,-10.343936,2.774535,9.079847,-55.108692,-3.739785,-0.735249,-29.693643,-2.923489,-2.914715,-97.900344,-0.295757,2.517131,-12.951335,-2.235095,0.41285,-61.205913,-2.461695,4.367595,-62.636263,-9.008017,2.370037,-77.859787,-11.700188,-1.379216,-87.49529,-0.674171,-1.413462,-90.561772,-0.605815,-7.459215,-62.649529,-7.329348,-7.457341,-62.634845,-7.329825,-1.38603,-75.220361,-14.402665,-3.880563,-84.207956,-12.461469,-4.992532,-85.951388,-1.885333,-4.889536,-82.963347,-2.076337,-4.371761,-62.40355,-1.142183,-4.46608,-67.154236,-1.137795,15.315442,-5.567043,-24.893157,15.315443,-5.567041,-24.893156,7.823566,-75.608533,1.375203,7.09069,-82.663244,5.705618,-5.981357,-81.934373,-8.001725,-5.26624,-76.910231,-8.266487,-4.010016,-61.077252,2.68256,-3.295978,-75.558863,2.944357,1
-1.960029,11.652504,3.470518,204.306731,-55.246639,19.539194,1.723507,1.791078,-5.128429,-39.807915,61.561774,24.154151,74.899088,-173.207118,-71.498781,-40.027699,-29.067709,62.058064,-37.298279,-30.681565,63.06259,10.851059,-8.789604,31.985905,14.083992,-6.51946,33.267563,3.455098,-26.23118,-10.42044,4.689626,-19.505288,-10.408919,-3.156276,-22.641393,9.561038,-1.378196,-33.456699,9.070273,7.236515,-10.93248,2.714692,9.087872,-55.045117,-3.736689,-0.702046,-29.04484,-2.932942,-2.914717,-97.901904,-0.295677,2.517713,-12.936148,-2.234758,0.415347,-61.147709,-2.462502,4.208852,-63.621816,-9.072203,2.370464,-77.852351,-11.695846,-1.379524,-87.522061,-0.673567,-1.413444,-90.559777,-0.605849,-7.465669,-62.700071,-7.327719,-7.448804,-62.567903,-7.331995,-1.568012,-75.904203,-14.358208,-3.877332,-84.194746,-12.464578,-4.993269,-85.974469,-1.883826,-4.889981,-82.975938,-2.075546,-4.372094,-62.420094,-1.142188,-4.464867,-67.092806,-1.137888,15.31544,-5.567042,-24.893164,15.315442,-5.567046,-24.893149,7.825492,-76.321202,1.299544,7.090434,-82.650466,5.7009,-5.985622,-81.964897,-7.999935,-5.268633,-76.926677,-8.265739,-4.011876,-61.037287,2.681594,-3.298513,-75.509326,2.943775,1
-1.056822,11.842584,3.019637,125.913525,23.033328,-58.500246,3.818046,-2.661785,2.449865,-39.467848,65.149314,20.901164,74.951101,-172.886661,-71.077803,-40.069799,-29.040964,62.040891,-37.264562,-30.700407,63.073941,11.397244,-8.443671,31.979368,14.1142,-6.496801,33.283717,3.466538,-26.168795,-10.421007,4.697961,-19.459807,-10.408342,-3.250453,-22.081879,9.577245,-1.384326,-33.418234,9.072597,7.282413,-10.972258,2.704687,9.098343,-54.986252,-3.737661,-0.688835,-28.78683,-2.93659,-2.914771,-97.912557,-0.295105,2.518523,-12.915672,-2.234301,0.417553,-61.096469,-2.46322,4.085172,-64.429196,-9.13575,2.371608,-77.845106,-11.694319,-1.379912,-87.55507,-0.672851,-1.413445,-90.560294,-0.605845,-7.469523,-62.730358,-7.326728,-7.441328,-62.509355,-7.333876,-1.831475,-76.922562,-14.307857,-3.875643,-84.187695,-12.466085,-4.993844,-85.991905,-1.882701,-4.890357,-82.986245,-2.074902,-4.371777,-62.405061,-1.142183,-4.463819,-67.040198,-1.137989,15.315451,-5.567041,-24.893159,15.315446,-5.56704,-24.893165,7.831145,-77.370631,1.174674,7.092038,-82.656356,5.693107,-5.991363,-82.006137,-7.997488,-5.269162,-76.930393,-8.265562,-4.013457,-61.00365,2.6808,-3.301203,-75.45691,2.943161,1
-0.271485,11.860394,2.751906,115.971099,-0.686803,-32.160991,5.47805,-3.192569,5.507379,-38.668725,67.679395,18.508491,74.996514,-172.403237,-70.514729,-40.116481,-29.011282,62.021815,-37.228682,-30.720064,63.085754,11.794247,-8.193109,31.969981,14.143268,-6.474681,33.300814,3.478425,-26.10414,-10.4216,4.705909,-19.416344,-10.407797,-3.309428,-21.731957,9.586897,-1.391304,-33.374602,9.075246,7.332496,-11.014936,2.693754,9.109385,-54.925494,-3.738923,-0.682053,-28.65487,-2.938443,-2.914823,-97.923089,-0.294561,2.519296,-12.895927,-2.233842,0.419865,-61.04275,-2.463964,3.990371,-65.059237,-9.18878,2.37315,-77.836243,-11.692907,-1.38032,-87.588107,-0.672138,-1.413447,-90.56126,-0.605808,-7.473101,-62.758601,-7.325822,-7.43369,-62.449413,-7.3358,-2.050588,-77.771188,-14.260491,-3.87389,-84.180218,-12.467238,-4.994347,-86.00732,-1.881687,-4.890738,-82.99685,-2.074231,-4.371383,-62.383762,-1.142194,-4.462763,-66.986895,-1.138067,15.315446,-5.567045,-24.893155,15.315436,-5.567038,-24.893157,7.83119,-78.240993,1.088554,7.093792,-82.663799,5.68506,-5.99716,-82.047532,-7.995045,-5.269472,-76.932613,-8.265444,-4.015105,-60.968391,2.679934,-3.304009,-75.402398,2.942517,1
0.425658,11.777755,2.570344,102.752992,-7.148798,-18.887634,6.857566,4.218651,6.087214,-37.733256,69.720425,16.617439,75.013442,-172.259868,-70.3773,-40.166965,-28.979021,62.001061,-37.190427,-30.740972,63.098296,12.133783,-7.978943,31.958714,14.171347,-6.452738,33.318729,3.490687,-26.03725,-10.42216,4.713478,-19.374961,-10.407254,-3.36647,-21.393746,9.595876,-1.399075,-33.325855,9.078182,7.386739,-11.060454,2.681895,9.121009,-54.862947,-3.740497,-0.673021,-28.478542,-2.940869,-2.914875,-97.933456,-0.293999,2.520046,-12.876954,-2.233416,0.422275,-60.986682,-2.464728,3.907871,-65.616993,-9.238802,2.375058,-77.825769,-11.6916,-1.380704,-87.6211,-0.671398,-1.413484,-90.56268,-0.605791,-7.476453,-62.784748,-7.324969,-7.425853,-62.388153,-7.337757,-2.225923,-78.4508,-14.218061,-3.87211,-84.172318,-12.468081,-4.994781,-86.020708,-1.880829,-4.891123,-83.007751,-2.073544,-4.370827,-62.356172,-1.142193,-4.461681,-66.932897,-1.13816,15.315444,-5.567041,-24.893157,15.31545,-5.567056,-24.893157,7.772236,-78.949734,1.299454,7.095674,-82.672789,5.676814,-6.002973,-82.089131,-7.992596,-5.269594,-76.933315,-8.265423,-4.016809,-60.931553,2.679033,-3.306912,-75.345884,2.941843,1
0.405321,11.718229,2.474359,-1.700868,-13.660483,-11.400683,1.098682,-5.466067,1.812669,-37.761021,73.110676,15.116316,75.064657,-172.716251,-70.79288,-40.178907,-28.971428,61.996172,-37.155155,-30.760134,63.109782,12.194026,-7.941252,31.955636,14.20416,-6.427842,33.335758,3.50101,-25.981053,-10.422626,4.721811,-19.329364,-10.406674,-3.377707,-21.327256,9.597598,-1.411299,-33.249403,9.08281,7.454288,-11.089102,2.66959,9.133744,-54.804775,-3.744357,-0.67165,-28.45217,-2.941245,-2.914932,-97.945759,-0.29335,2.52031,-12.86963,-2.233243,0.424398,-60.937331,-2.465422,3.843047,-66.111192,-9.299731,2.380399,-77.807932,-11.696978,-1.381003,-87.647348,-0.670815,-1.413523,-90.566787,-0.6057,-7.478612,-62.801834,-7.324405,-7.418497,-62.330498,-7.339586,-2.39138,-79.106525,-14.187212,-3.868753,-84.161548,-12.475347,-4.994383,-86.008812,-1.881606,-4.891542,-83.01892,-2.072838,-4.370254,-62.327544,-1.142186,-4.460626,-66.879429,-1.138255,15.315438,-5.567041,-24.893149,15.315448,-5.567036,-24.893152,7.725775,-79.099673,1.512441,7.098661,-82.682718,5.661661,-6.006111,-82.111539,-7.99126,-5.268669,-76.926924,-8.265716,-4.016529,-60.937565,2.679169,-3.309335,-75.298551,2.941273,1
